Front,Back,Pronunciation,Example,Note
Hello,Xin chao,/həˈloʊ/,Hello how are you/,Chao hoi thong dung
Goodbye,Tam biet,/ɡʊdˈbaɪ/,Goodbye see you soon/,Khi chia tay
Thank you,Cam on,/θæŋk juː/,Thank you for your help/,Cam on lich su
Please,Lam on,/pliːz/,Please open the door/,Xin vui long
Sorry,Xin loi,/ˈsɒri/,Sorry I made a mistake/,Khi xin loi
Yes,Vang Co,/jes/,Yes I agree with you/,Tra loi khang dinh
No,Khong,/noʊ/,No I dont think so/,Tra loi phu dinh
Good morning,Chao buoi sang,/ɡʊd ˈmɔːrnɪŋ/,Good morning how did you sleep/,Chao buoi sang
Good night,Chuc ngu ngon,/ɡʊd naɪt/,Good night sweet dreams/,Chuc truoc khi ngu
Excuse me,Xin loi cho phep,/ɪkˈskjuːz miː/,Excuse me where is restroom/,Khi can su chu y
You are welcome,Khong co gi,/jɔːr ˈwelkəm/,You are welcome anytime/,Tra loi lich su
Congratulations,Chuc mung,/kənˌɡrætʃuˈleɪʃənz/,Congratulations on your success/,Khi chuc mung
Happy birthday,Chuc mung sinh nhat,/ˈhæpi ˈbɜːrθdeɪ/,Happy birthday to you/,Nhan dip sinh nhat
Welcome,Chao mung,/ˈwelkəm/,Welcome to our home/,Chao don tiep
