word,meaning,pronunciation,example,collocation,related_words
Ephemeral,"Phù du; chóng tàn",/ɪˈfemərəl/,"Fame is ephemeral and passes quickly.",ephemeral fame,"transitory, fleeting"
Serendipity,"Sự tình cờ may mắn",/ˌserənˈdɪpəti/,"We found the charming cafe by pure serendipity.",pure serendipity,"fluke, luck"
Eloquent,"Hùng biện; lưu loát",/ˈeləkwənt/,"Her eloquent speech moved the entire audience to tears.",eloquent speech,"articulate, fluent"
Melancholy,"Nỗi u sầu; buồn bã",/ˈmelənkɒli/,"A rainy day always brings a sense of melancholy.",deep melancholy,"sadness, gloom"
Resilient,"Kiên cường; co dãn tốt",/rɪˈzɪliənt/,"The young tree was resilient enough to survive the storm.",resilient economy,"tough, flexible"
Ubiquitous,"Khắp nơi; phổ biến",/juːˈbɪkwɪtəs/,"Cell phones are ubiquitous in modern society.",ubiquitous presence,"omnipresent, widespread"
Ambiguous,"Mơ hồ; nhập nhằng",/æmˈbɪɡjuəs/,"His answer was ambiguous and hard to understand.",ambiguous response,"vague, unclear"
Benevolent,"Nhân từ; rộng lượng",/bəˈnevələnt/,"The benevolent old man donated a lot of money to the school.",benevolent leader,"kind, generous"
Diligent,"Siêng năng; cần cù",/ˈdɪlɪdʒənt/,"She is a diligent student who always does her homework.",diligent effort,"industrious, hard-working"
Garrulous,"Nói nhiều; ba hoa",/ˈɡærələs/,"The garrulous passenger kept talking for the whole trip.",garrulous talker,"talkative, loquacious"
Pragmatic,"Thực tế; thực dụng",/præɡˈmætɪk/,"We need a pragmatic approach to solve this issue.",pragmatic solution,"practical, realistic"
Tenacious,"Kiên trì; dai dẳng",/təˈneɪʃəs/,"He has a tenacious grip on his dream.",tenacious defense,"persistent, stubborn"
Superfluous,"Dư thừa; không cần thiết",/suːˈpɜːfluəs/,"Please delete any superfluous details from the report.",superfluous information,"excess, unnecessary"
Luminous,"Sáng chói; dạ quang",/ˈluːmɪnəs/,"The watch has luminous hands that glow in the dark.",luminous stars,"bright, glowing"
Pensive,"Trầm ngâm; sâu lắng",/ˈpensɪv/,"He looked pensive as he stared out the window.",pensive mood,"thoughtful, contemplative"
Aesthetic,"Thẩm mỹ; có gu",/iːsˈθetɪk/,"The new building is pleasing from an aesthetic viewpoint.",aesthetic value,"artistic, beautiful"
Conspicuous,"Dễ thấy; dễ gây chú ý",/kənˈspɪkjuəs/,"The red house was conspicuous among the trees.",conspicuous consumer,"noticeable, prominent"
Enigmatic,"Bí ẩn; khó hiểu",/ˌenɪɡˈmætɪk/,"The Mona Lisa has a famous enigmatic smile.",enigmatic smile,"mysterious, puzzling"
Inherent,"Vốn có; cố hữu",/ɪnˈhɪərənt/,"There are inherent risks in any business venture.",inherent danger,"intrinsic, natural"
Meticulous,"Tỉ mỉ; trau chuốt",/məˈtɪkjələs/,"She paid meticulous attention to detail in her work.",meticulous planning,"careful, precise"
Obsolete,"Lỗi thời; cũ kỹ",/ˈɒbsəliːt/,"Floppy disks have become completely obsolete.",obsolete technology,"outdated, ancient"
Plausible,"Hợp lý; đáng tin",/ˈplɔːzəbəl/,"His story was plausible and convinced the police.",plausible explanation,"believable, credible"
Scrutinize,"Xem xét kỹ lưỡng",/ˈskruːtɪnaɪz/,"The bank clerks will scrutinize the signature on the check.",scrutinize details,"examine, inspect"
Tranquil,"Yên bình; tĩnh lặng",/ˈtræŋkwɪl/,"We enjoyed the tranquil atmosphere of the mountain lake.",tranquil village,"peaceful, calm"
Vindicate,"Minh oan; bào chữa",/ˈvɪndɪkeɪt/,"New evidence will vindicate the suspect.",vindicate rights,"exonerate, clear"
Zealous,"Hăng hái; nhiệt huyết",/ˈzeləs/,"The zealous volunteers worked all night to help the victims.",zealous supporter,"enthusiastic, eager"
Altruistic,"Vị tha; nhân hậu",/ˌæltruˈɪstɪk/,"Her altruistic nature led her to help everyone she met.",altruistic act,"unselfish, charitable"
Capricious,"Thất thường; dễ thay đổi",/kəˈprɪʃəs/,"The weather in spring is extremely capricious.",capricious climate,"fickle, unpredictable"
Dogmatic,"Độc đoán; võ đoán",/dɒɡˈmætɪk/,"He is dogmatic and refuses to listen to other opinions.",dogmatic view,"opinionated, assertive"
Gregarious,"Thích giao du; hòa đồng",/ɡrɪˈɡeəriəs/,"Humans are gregarious creatures who enjoy company.",gregarious animal,"sociable, friendly"
