front,back,pronunciation,example,note,collocation,relatedWords
hello,xin chào,/həˈloʊ/,"Hello, how are you?",Greeting,say hello,hi
goodbye,tạm biệt,/ˌɡʊdˈbaɪ/,"Goodbye, see you tomorrow!",Greeting,say goodbye,farewell
thank you,cảm ơn,/ˈθæŋk juː/,"Thank you for your help.",Expression of gratitude,thank you very much,thanks
please,làm ơn,/pliːz/,"Please open the door.",Polite expression,yes please,request
morning,buổi sáng,/ˈmɔːrnɪŋ/,"Good morning, everyone.",Time of day,early morning,afternoon
evening,buổi tối,/ˈiːvnɪŋ/,"I read books in the evening.",Time of day,good evening,night
night,ban đêm,/kiː/,"The stars shine at night.",Time of day,late at night,midnight
day,ngày,/deɪ/,"Today is a beautiful day.",Unit of time,all day,week
week,tuần,/wiːk/,"There are seven days in a week.",Unit of time,next week,month
month,tháng,/mʌnθ/,"February is the shortest month.",Unit of time,last month,year
year,năm,/jɪr/,"Happy New Year!",Unit of time,next year,decade
house,ngôi nhà,/haʊs/,"They live in a big house.",Building,build a house,home
school,trường học,/skuːl/,"Children go to school every day.",Place,high school,education
book,cuốn sách,/bʊk/,"I love reading this book.",Object,read a book,notebook
pen,bút mực,/pɛn/,"Can I borrow your pen?",Stationery,blue pen,pencil
pencil,bút chì,/ˈpɛnsl/,"Draw a circle with a pencil.",Stationery,mechanical pencil,eraser
paper,giấy,/ˈpeɪpər/,"Write your name on the paper.",Material,piece of paper,notebook
friend,người bạn,/frɛnd/,"She is my best friend.",Person,make friends,companion
family,gia đình,/ˈfæməli/,"I love my family.",Group of people,family member,relatives
water,nước,/ˈwɔːtər/,"Drink plenty of water.",Liquid,drinking water,ice
food,thức ăn,/fuːd/,"Fast food is not healthy.",Nourishment,delicious food,drink
bread,bánh mì,/brɛd/,"I eat bread for breakfast.",Food,loaf of bread,butter
milk,sữa,/mɪlk/,"Cat likes to drink milk.",Drink,fresh milk,cheese
apple,quả táo,/ˈæpl/,"An apple a day keeps the doctor away.",Fruit,red apple,orange
banana,quả chuối,/bəˈnænə/,"Monkeys love bananas.",Fruit,ripe banana,yellow
